customer_id,first_name,last_name,date_of_birth,email,phone_number,creation_date,life_event
6b722494-5325-4322-9df3-7fdc8420999a,Denise,Murray,1998-10-27,tramirez@example.net,+1-318-324-8705x224,2021-03-02,Graduation
2ce071ce-7420-4ecd-9eb0-0fc83833cc60,Michael,Rice,1993-04-19,lmiller@example.org,439-500-4499x0333,2021-10-16,
f2515f0d-6659-403f-8bf0-2a0cbbe2fe99,Ryan,Reid,2004-01-21,shannon46@example.net,900-601-9710x65132,2020-05-21,Empty Nest
b20d20bb-dc25-483e-8863-6a87b4436ef3,Michael,Jimenez,1959-09-02,cynthiagarner@example.net,945.480.5355,2022-11-23,Divorce
f392416f-2f11-48d1-9c09-7dcca4d0c0ef,Debra,Kaiser,1949-06-01,pholloway@example.net,+1-556-378-5298x76117,2023-04-26,Relocation
5821a39a-ef48-4df3-9a13-25b7da45ddfb,Lauren,Shields,1995-11-29,ellisdaniel@example.org,(575)909-3994,2024-05-10,Relocation
bdd899b2-2c60-4273-b869-330b2ac46b8c,Matthew,Smith,1946-11-16,murphyteresa@example.org,398.657.5865,2023-09-23,Marriage
3e6356f9-4b2d-4b8b-a7c8-07b7dfa91b43,Wyatt,Woodard,1967-03-10,iharris@example.org,250-363-3808,2020-05-22,Inheritance
bfb5c78a-567c-4014-bfdf-49afaca36cd8,Kathryn,Frazier,1946-10-06,cervantesjennifer@example.com,+1-338-352-9610x9507,2023-09-08,Divorce
87479b73-6038-4bd0-bc13-8440bc16ef80,Kim,Acevedo,1956-12-10,kristy51@example.net,(808)204-4937x58487,2021-07-04,Empty Nest
84e67fcc-77ad-49d3-b747-93d376c36f87,Dale,Marshall,1993-02-08,juanpierce@example.org,+1-531-506-5116x74036,2023-01-25,Marriage
d8b1f367-80da-4ebe-ac9a-224daa751540,Tina,Garcia,1936-10-25,bethedwards@example.org,459.873.4881x0594,2023-07-23,
9d24ee92-01e4-44f7-80ba-c5ff15e8d4d8,Courtney,Salas,1977-11-15,nelsonalex@example.org,9202944871,2022-06-01,Medical Event
b159470c-1da5-49c9-99fb-2dd4566a64e1,Megan,Delgado,1979-05-07,bheath@example.com,704.449.7305x544,2020-09-14,Retirement
d29e7779-ace6-4325-afae-e646d47df40d,Tracy,Jordan,1983-03-22,johnsondiamond@example.org,001-616-266-4290x80930,2024-03-22,Relocation
40703469-7851-4290-9fda-5984644361ff,Julie,Morrison,1996-02-16,tracymatthews@example.com,(286)524-0330x67707,2023-07-10,Relocation
6c87e589-7cb7-4d79-9209-9b8e77664084,Brenda,Jackson,1945-06-06,tthomas@example.com,(799)812-0143x87071,2020-10-13,New Child
b1bbbc1d-5cc8-477a-9293-b700b1bb208a,Sarah,Johnson,1968-11-04,marythomas@example.net,001-784-908-8171x849,2021-01-20,Starting Business
1b921328-121d-442e-b9c2-55299b838a22,Jason,Mcintyre,1987-10-22,shortnicholas@example.com,724.340.6293,2023-03-24,Home Purchase
9f9b7c9a-6994-4f99-88a1-b091e8a42fbc,Destiny,Montgomery,1999-10-18,vgillespie@example.org,8582898292,2024-06-01,New Child
f546f7bb-0a09-429e-9d82-ebadb8284638,Nicole,Dunlap,1978-09-04,david73@example.net,001-864-296-0978x15070,2021-08-12,Divorce
0f559d91-7bf2-402d-9d57-7be9aafe784a,Lisa,Armstrong,1957-03-14,bridgetarnold@example.net,692.690.2615x148,2024-10-23,New Job
b0157005-865f-473e-9d97-fd359bf1396d,Joshua,Martinez,2003-01-01,zachary61@example.com,+1-557-556-7869x65339,2021-03-19,New Child
85b9d839-7ce1-44d7-8958-0091703f63d7,Connie,Moore,1955-01-31,wolfadam@example.org,001-811-630-7615x442,2024-06-28,Graduation
a7e2a3ac-3648-4e7d-96b3-a3d8a113b038,Tiffany,Ayala,1968-02-16,stevenross@example.com,001-591-836-8873x31141,2024-03-30,Home Purchase
d57121d3-c176-45bb-a0c3-820d63127d7e,Roy,Gutierrez,2002-08-09,stephen99@example.org,2038470885,2020-07-21,Medical Event
b0ced999-a919-4d5d-8402-b4650930f370,Angela,Williamson,1942-03-16,sheppardemily@example.org,+1-559-520-3268x11123,2024-04-04,Relocation
2042691e-b8e5-4fa3-9864-3625ee1278e0,Michelle,Rivera,1999-06-06,jessicaharris@example.com,439.656.9763x165,2020-04-06,Starting Business
05a47169-89e6-4d01-bbc8-d991898ff18b,Brandon,Salas,1956-08-12,pdalton@example.com,244-981-5893,2023-07-24,Divorce
fdcb1965-6421-4a14-aa0b-144a622aad59,Ashley,Clark,1979-07-06,michellearcher@example.org,634.758.2116x5308,2020-03-18,Marriage
57f6178c-bc0b-48e7-a317-c49d670ef47c,Victoria,Bauer,1967-07-07,paula45@example.com,961.477.9609x165,2021-05-08,Divorce
0f340b57-1caf-4459-8092-20bf15a5ab23,Zachary,Wang,1941-01-26,bellmichelle@example.org,001-829-628-0933x8077,2023-10-04,Relocation
8abf2622-04b2-40d4-b257-1a27379f2493,Gina,Short,1938-11-25,charvey@example.com,001-946-663-9556x12574,2022-08-13,Marriage
4d8816fa-ca81-4c89-b87f-db172441cad7,Patricia,Cline,2004-06-06,kayla30@example.com,4272177364,2023-02-20,
f29288bf-04e3-461f-8714-0075f72757fd,Emily,Hernandez,1982-07-19,whitedavid@example.net,6614689977,2022-07-07,
551a42a7-2fb2-4e5e-a5a1-e84d7b627f26,Carlos,Lee,1956-05-01,hamptonsarah@example.com,230-673-5353x483,2021-01-18,Medical Event
c01a2124-1134-4cf4-a1b8-c389b502ebd9,James,Elliott,2006-01-28,lacey79@example.net,201-544-7019x0042,2020-10-22,New Child
1365509f-b793-417f-9d29-9669e488cf47,Michelle,Middleton,1990-06-18,rrussell@example.org,(865)589-8489,2021-10-29,New Job
411c03e8-4112-4484-855f-30fd74981d59,Juan,Vasquez,1980-09-30,amanda16@example.com,(272)935-3487x563,2022-08-19,Career Change
e04bd080-693f-4a77-bc6c-22a456799cd7,Jasmine,Gonzales,1935-08-10,john08@example.net,+1-832-360-4724x283,2021-01-04,Home Purchase
740d25a2-42b5-404d-be18-a84944ff597f,Brian,Sloan,1955-10-23,deborah05@example.net,+1-964-523-2648,2023-03-29,New Job
641cbc75-0cde-4505-853f-7bd1a3e4a4ae,Shannon,Tran,1963-12-25,josephdavis@example.org,+1-593-917-7372x58467,2024-11-21,Starting Business
8ef65024-6be8-4422-b21e-0c62a61999c9,William,Norman,2002-07-19,qmanning@example.net,229.779.7466x44674,2020-08-06,Marriage
fc1b33c8-758e-41fe-ac97-8170c8fe5b49,Paul,Chambers,1987-12-04,imontgomery@example.org,+1-615-522-4710x75367,2020-09-20,Inheritance
9ea26e6b-a372-440d-81c9-4fcedc67e174,Eugene,Frazier,1938-07-04,watsondana@example.com,(925)363-4711,2022-01-07,Retirement
552754dd-d5ad-4b94-a582-906d30c08c0a,Cheyenne,White,1982-03-09,taylorbrewer@example.com,(618)341-0204x7685,2024-11-25,Career Change
1b1df8b2-de42-487c-8ec8-ab235457252e,Rhonda,Miller,1964-07-10,jamie45@example.com,(436)888-3101,2021-07-06,New Child
0b76165a-38fb-4c96-aa5a-ab215595050d,Danielle,Nguyen,1981-10-15,jared73@example.com,653.527.4505x9145,2023-10-13,Starting Business
797169a5-bab2-4d95-8981-c2f0716c58a2,Heidi,Hoffman,1957-12-27,scott83@example.com,290.758.1301,2023-06-19,Starting Business
d4358532-c94c-422a-880f-a2891489d7f2,Cameron,Turner,1978-04-26,jacksonstephen@example.com,(416)464-4801,2022-02-13,Relocation
eef7aaab-dee5-4ce0-bf3f-1c64eee6214e,Sandra,Clark,1968-01-20,annettethomas@example.net,595.420.6695x54922,2025-01-13,
1e8d2abd-04ff-4aff-8487-7782125a4822,Amanda,Lewis,1946-05-07,joseph51@example.com,(601)637-6894x86484,2021-05-02,Medical Event
24d511a3-f7d0-4f26-8648-b426639310e8,Lee,Peterson,1976-06-05,janet33@example.com,311.891.0965,2024-01-21,
97cac159-0e67-4108-9b31-191a8d721d63,Joseph,Grant,1996-02-07,julian83@example.com,772.630.9996,2020-02-16,Inheritance
8c3f27c1-8cc4-485f-a4fb-6000f493b33f,Valerie,Ray,1953-04-14,arthur97@example.com,001-521-869-2957,2024-01-29,Divorce
7fe5a9d3-87bf-467b-ad44-76a225214555,Richard,Munoz,1937-01-05,joyceparks@example.com,(729)902-4928,2021-02-04,
c20495fb-7aad-4cfc-af33-f5b39e0ae5c0,David,Woods,1986-12-20,angelawilson@example.org,372-312-7593x710,2023-01-27,New Job
e5598093-1d40-4797-a89e-993b3c5493e1,Samantha,Robinson,1995-11-27,monica31@example.net,296-500-5187x549,2020-03-23,Relocation
83caf2fa-659f-4b95-9f2b-4fb18391be2a,Theodore,Lambert,1999-03-16,bakerbryan@example.net,(508)635-0897x445,2020-07-07,Marriage
b9bdbb38-3afb-4e94-b1d4-e1a3b1cbf15e,Justin,Graham,1998-11-22,evanspatricia@example.net,(601)362-5307,2022-06-25,New Child
6f0c7f57-fde1-45fb-9f96-06736748e3dd,Raymond,Douglas,1939-03-13,gonzalesedward@example.org,563-543-2683,2021-12-06,Graduation
bb8a3d81-00a9-40e6-ac1d-423a3155e07c,Scott,Bell,1943-12-18,jimmy95@example.net,+1-403-975-9210x161,2021-11-24,Retirement
ce8e057a-6bfe-4f0b-a1f8-bde935b25447,Chad,Colon,1995-02-22,llee@example.net,666-980-9898x937,2022-01-05,Medical Event
45f9bb7c-c4be-440f-a5b5-e3c0e7c6a0c0,Brandon,Weaver,1971-09-08,tylerdavis@example.net,001-681-326-8222,2022-12-18,Graduation
44823c57-d0b2-4f24-acca-dc7703016b95,Brett,Zavala,1983-10-25,wboone@example.net,8535369719,2024-05-20,New Child
4b6fbb3f-f200-463d-a799-194bfb62fb39,Kevin,Bates,1944-04-29,patrickmiller@example.com,+1-246-901-7605x5018,2022-06-08,Starting Business
c8955924-2062-4e86-ac46-cd5b4c7982b2,Brenda,Schroeder,1947-06-23,kmack@example.org,693.271.8897,2022-10-17,Relocation
c0a5e239-2a74-4d00-9714-0ff1cf1c3856,Brent,Freeman,1985-06-18,jenniferwhite@example.org,+1-796-520-3705,2023-07-07,Medical Event
a57589a8-8058-4738-aa83-bc7fbeb1ad3b,Frank,Fernandez,1949-08-19,bethany50@example.net,565-607-1370x96932,2022-01-26,New Job
b220c2c0-7120-46bd-bb6b-6acf2cd51657,Emily,Bradshaw,1945-07-15,mary58@example.net,881-504-9452x520,2020-04-19,
de8b2cd3-3559-4083-bd14-dbf0593b2f96,Kristina,Evans,1976-12-08,williambush@example.com,672-460-4223x35452,2020-04-06,Medical Event
2a5970d5-658d-4df6-bcc2-acd8ed2a2441,Angela,Davidson,1934-02-05,yutiffany@example.net,(860)652-5752x8213,2022-09-24,Relocation
fbb7fb12-afcb-426d-94f5-8f0872083b0c,Veronica,Manning,1991-04-02,bruce16@example.com,+1-414-421-0589x44536,2020-02-20,Marriage
10d04f1f-4e7b-4283-90ed-7bfb081de145,Amanda,Ferguson,1946-04-22,ejenkins@example.com,001-975-211-1850x3848,2021-07-20,Medical Event
c7ef1d72-b512-4342-817f-509ca3617f57,Gabriella,Horn,1993-01-21,johnsonbrandon@example.org,(449)604-6772,2024-07-03,Empty Nest
f43eabcb-1b9f-496d-ad51-4f7efe56ce7d,Danielle,Meyers,1955-01-11,ykim@example.net,+1-950-839-8762x21682,2023-07-28,Empty Nest
4be035fc-30ee-494b-b3f3-5f1017d55312,Nicole,Smith,1962-01-19,chadbird@example.net,(227)985-5275,2024-09-18,Medical Event
ff851ea3-1e58-4a7a-8918-7c75571cd9b1,Cody,Turner,1985-08-10,danielwilliams@example.org,406-778-7849,2024-08-14,New Job
78d68d2c-cabe-4436-a922-99c2351bc6c4,Eric,Smith,1991-08-17,daniel71@example.net,9523711975,2021-04-09,Graduation
f28cb661-2118-47ee-b3cf-e146168219a2,Breanna,Floyd,1982-11-11,lbishop@example.com,207.944.8329x71867,2023-12-17,New Job
1357fdc2-2bde-4bad-b000-aa2b4b816f71,Teresa,Phillips,1953-04-20,williamanderson@example.net,878-551-2406x701,2022-01-19,Inheritance
d073c918-8899-4fa3-b208-28c468d2aa0f,Nicole,Escobar,1950-10-01,wbarker@example.org,(552)772-2064,2021-06-21,Divorce
87ac427a-a0c6-49fe-a538-eeb81c04abd6,Adriana,Martinez,1934-05-25,dhunt@example.com,001-597-410-0496x943,2024-04-11,New Child
f6c38645-d5d9-4a74-8c16-526808295461,Tracie,Barnes,1947-05-11,wgonzalez@example.org,504.562.1396,2023-02-24,Marriage
a65ce453-a8bb-4f08-9690-9546099099e3,Hannah,Torres,1951-07-25,amber48@example.com,+1-274-510-8598x880,2022-02-02,New Child
17f4388a-8be8-422b-ba1a-62f6153dd80e,Michele,Pope,2005-01-12,qbarnes@example.org,001-671-939-6424,2023-11-03,New Child
0f8de13b-0731-434d-9290-ccd1d9a34a80,Melissa,Spencer,2002-12-16,lewisnicole@example.com,+1-540-465-0960,2022-04-23,Empty Nest
08586ff4-431c-4dfa-845e-66faca6014d2,Andrew,Welch,1982-03-26,nathanjordan@example.com,+1-889-792-5729x798,2023-08-07,Career Change
fd73b16b-6c58-4330-bdd2-8d2185619695,Susan,Wilson,1949-09-25,xwilliams@example.org,+1-417-866-4619x27829,2024-08-16,Inheritance
e18192b1-cc7a-41c2-8a89-87c1a8c5a727,Mark,Ball,1951-01-04,wardjonathan@example.net,001-768-702-4433x951,2024-02-26,Home Purchase
e132fbb1-c5d4-4ef3-97fc-f36acccaaec1,Deborah,Caldwell,1974-07-05,michaelanderson@example.com,(937)626-7576x08010,2023-07-11,New Job
72e14644-24b7-4ac8-bd47-87b0a4960322,Kristin,Miller,1939-08-16,jstrong@example.com,204.440.5515,2020-11-05,Empty Nest
684ba0c0-b5d7-4566-9df9-5b7ca08ea0c6,Earl,Novak,1936-10-01,kpeterson@example.org,756-459-9101,2023-06-02,Empty Nest
581219d2-509f-4909-8eae-a61f0abe6dd9,Noah,Mclaughlin,1991-10-14,zbarnett@example.org,4669399123,2020-06-06,Divorce
8316db40-b785-4bdd-9fc6-beee32946e7c,David,Dominguez,1942-03-29,david73@example.net,819-723-1671x6051,2020-03-25,Medical Event
aff65ac3-9fca-40ce-b908-011f4107a015,Michael,Meza,1989-04-07,ryan38@example.net,902-900-6421,2023-08-13,Starting Business
1d6b54e8-c92e-4ab9-9a34-05865b0bf8fa,Robert,Patton,1968-06-16,alangill@example.org,686-789-2072,2025-01-03,Starting Business
791c4183-7af2-48a1-9002-a5d9d098d7fd,Thomas,Skinner,1995-02-11,davidramos@example.org,(558)375-8124x28031,2022-12-16,Home Purchase
5e714573-3875-40e7-9d2c-0e83472618fe,Brandon,Dennis,1950-12-20,cory14@example.com,690-893-8183x10771,2020-04-21,Marriage
28559f6b-a261-4faa-a0ab-1eb245a67fb6,Dana,Stafford,1963-06-06,pollardkathleen@example.net,578.550.9499,2021-09-17,New Job
965ec7f2-6fd0-4f22-90e1-bef1418c0106,Danny,Russo,1961-01-24,iallen@example.org,598-775-0276x436,2022-02-23,Marriage
9fdf4b8f-630a-43ff-b306-e4a5b5c2b756,Brianna,Ayala,1971-12-01,usummers@example.net,779-927-5851x0138,2020-01-19,Career Change
b5d8ece0-ffe7-4feb-9b10-786a4f7c89aa,Eric,Petty,1979-07-14,davidsonjill@example.com,272-979-3080x8350,2024-02-07,New Child
255b0e2d-252a-492d-903f-5ff32b2b6a0f,Amber,Hamilton,2003-10-07,cruzdawn@example.com,580.366.3549x1663,2023-06-05,Starting Business
a9f7af19-2f25-429a-8ce3-20f6be6e70c4,Joshua,Campbell,1968-12-21,kellyanderson@example.com,799-786-3894x855,2022-05-13,Inheritance
9343e4c1-dc5e-41a0-a945-9402fdbf0d2e,Kayla,Castillo,1967-12-29,annhughes@example.org,(650)444-9425x242,2024-06-07,Retirement
6beae91d-0e28-4046-a99a-892f2849beef,Sarah,Johnson,1948-11-08,pcook@example.net,7893214658,2022-03-20,Graduation
